3PM,APG,BPG,FGP,FTP,MPG,PPG,RPG,SPG,TPG,NAME
2.2,1.5,0.2,49.2,87.5,27.1,14.9,6.2,0.6,1.5,Marcus Morris
1.4,1.7,0.6,44.1,76.6,25.6,11.1,5.1,0.7,1.3,Markieff Morris
1.1,4.1,0.1,48.4,77.8,24.9,10.1,2.8,1,0.7,Monte Morris
1.1,3.6,0.4,47.1,74.2,25.7,14.4,3,0.8,1.9,Emmanuel Mudiay
1.4,5.1,0.5,42.7,85.1,34.6,17.6,4.5,0.9,2.5,Jamal Murray
1.6,1.5,0.7,39.2,83,23.7,8.3,4.7,0.4,1,Mike Muscala
0.4,3.2,0.7,53.3,71,25.3,8.6,7.5,1.3,1.3,Larry Nance Jr.
0.9,2.6,0.4,34.6,80.8,22.0,6.3,1.9,0.7,1.4,Frank Ntilikina
0.1,2.6,1.3,48.2,76.4,26.5,14.4,10.1,1.1,2.2,Jusuf Nurkic
0.5,0.8,0.4,42.1,64.4,16.2,5.9,2.8,0.6,0.4,David Nwaba
0.5,1.3,0.1,45.5,66.7,17.0,4.4,2.9,0.6,0.9,Royce O'Neale
0.7,2.6,0.2,37.9,92.9,19.7,6.7,2.1,0.8,1.4,Elie Okobo
0.7,1,0.4,39.2,75,19.2,6.8,3,0.8,0.8,Josh Okogie
2.3,5.1,0.4,43.8,72.6,32.7,20.6,6.4,1.6,2.4,Victor Oladipo
1.5,2.1,0.4,43.9,80,20.9,9.8,4.5,0.7,1.4,Kelly Olynyk
1.4,2.3,0.2,38,78.9,31.7,11.3,4.9,0.6,1.6,Cedi Osman
2.0,1,2,33.3,75,26.0,13,6,1,1,Kelly Oubre Jr.
0.9,2.3,0.3,45.5,72.4,30.1,15.2,6.9,0.6,2.6,Jabari Parker
0.2,4.1,0.1,45.2,68.9,19.4,9.9,1.6,0.5,1.4,Tony Parker
1.0,0.7,0.3,41.2,0,15.3,5.7,1.3,0.3,0.7,Chandler Parsons
0.8,0.6,0.2,32.5,60.9,15.3,4,2.6,0.4,0.4,Patrick Patterson
2.0,8,0.3,41.5,81.3,33.2,15.6,4,2.1,3,Chris Paul
0.6,2.8,0.2,41.6,88,18.2,6.1,1.8,0.7,1.2,Cameron Payne
0.5,5.3,0.2,47.1,63.6,25.3,9.7,5.2,0.8,2,Elfrid Payton
